"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"fl_em_operacao";"SITUAÇÃO";"ATIVIDADE";"TIPOATIVIDADE";"ESTRUTURA BÁSICA";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"COMPLEMENTO";"TELEFONE";"EMAIL_INSTITUCIONAL";"EMAIL_COMERCIAL";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CNAE";"SEGMENTOS TURISTICOS";"LINGUAS";"UH";"UHs ACESSÍVEIS";"TOTAL DE LEITOS"
MARCO MARCHETTI S A HOTEIS;SAN MARCO HOTEL;"00480608000160";Sociedade Anônima Fechada;1977-07-07;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"70322914";DF;Brasília;Asa Sul;San Marco Hotel;;"2103-8484";SANMARCO@SANMARCO.COM.BR;SANMARCO@SANMARCO.COM.BR;WWW.SANMARCO.COM.BR                                         ;"09/09/2016";"09/09/2018";"00480608000160";"5510801 - HOTÉIS";; Inglês;256;6;441
HOTEL REZENDE DE LAMBARI LTDA;HOTEL REZENDE DE LAMBARI;"00486436000132";Sociedade Empresária Limitada;1995-03-16;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37480000";MG;Lambari;;Sem Logradouro;;(35)3271-1108;atendimento@hotelrezende.com.br;atendimento@hotelrezende.com.br;;"03/05/2017";"03/05/2019";"00486436000132";"5510801 - HOTÉIS";;;53;0;120
VILLAGE INDAIA HOTELARIA E CONSTRUCOES LTDA;VILLAGE INDAIÁ;"00506175000175";Sociedade Empresária Limitada;1995-03-22;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"45668000";BA;Ilhéus;;Sem Logradouro;;(73)3634-1197;VILLAGEINDAIA@UOL.COM.BR;VILLAGEINDAIA@UOL.COM.BR;WWW.VILLAGEINDAIA.COM.BR;"25/01/2017";"25/01/2019";"00506175000175";"5510801 - HOTÉIS";; Inglês | Italiano;28;0;110
EMPRESA BRASILEIRA DE TURISMO DE EXTREMA LTDA;STAR RESORT POUSADA DO MUXARABI;"00571142000109";Sociedade Empresária Limitada;1995-04-18;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37640000";MG;Extrema;;Sem Logradouro;;(35)3435-1677;serradolopo1@gmail.com;serradolopo1@gmail.com;;"19/02/2018";"19/02/2020";"00571142000109";"5510801 - HOTÉIS";; Inglês;17;0;39
HOTEL CIDADE LTDA;HOTEL CIDADE;"00582252000176";Sociedade Empresária Limitada;1995-04-27;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37550000";MG;Pouso Alegre;;Sem Logradouro;;(35)3422-2200;HOTELCIDADE@UOL.COM.BR;HOTELCIDADE@UOL.COM.BR;WWW.HOTELCIDADEMG.COM.BR;"16/03/2018";"16/03/2020";"00582252000176";"5510801 - HOTÉIS";;;42;0;84
JOSE EUSTAQUIO MIRANDA;POUSADA CHÃO DA SERRA;"00650514000192";Empresário (Individual);1995-06-13;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"35847000";MG;Serra do Cipó;;Sem Logradouro;;(31)3718-7040;atendimento@chaodaserra.com.br;atendimento@chaodaserra.com.br;WWW.CHAODASERRA.COM.BR;"04/05/2017";"04/05/2019";"00650514000192";"5510801 - HOTÉIS";; Inglês;19;0;50
HOTEL JARDIM LTDA;HOTEL JARDIM;"00688292000105";Sociedade Empresária Limitada;1995-07-07;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"49200000";SE;Estância;;Sem Logradouro;;(79)3522-1656;hoteljardim_se@hotmail.com;hoteljardim_se@hotmail.com;WWW.HOTELJARDIM_SE.COM.BR;"27/03/2018";"27/03/2020";"00688292000105";"5510801 - HOTÉIS";;;54;2;121
HOTEL POUSADA QUIRIRI LTDA - ME;QUIRIRI PARK;"00707248000197";Sociedade Empresária Limitada;1995-07-14;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"45980000";BA;Prado;;Sem Logradouro;;(73)3298-1911;CONTATO@HOTELQUIRIRI.COM.BR;CONTATO@HOTELQUIRIRI.COM.BR;WWW.HOTELQUIRIRI.COM.BR;"07/11/2017";"07/11/2019";"00707248000197";"5510802 - APART HOTÉIS";;;42;0;90
MAGASA EMPREEMDIMENTOS TURISTICOS E COMERCIAIS LTDA;INGÁ PRAIA HOTEL;"00708143000152";Sociedade Empresária Limitada;1995-07-18;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"59090100";RN;Natal;Ponta Negra;Erivan França;;(84)3219-3436;reservas@ingapraiahotel.com.br;reservas@ingapraiahotel.com.br;www.ingapraiahotel.com.br;"28/03/2018";"28/03/2020";"00708143000152";"5510801 - HOTÉIS";; Inglês;24;1;62
H N VILAGE LTDA;HN VILAGE;"00713456000107";Sociedade Empresária Limitada;1995-07-18;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"37706106";MG;Poços de Caldas;Parque Vivaldi Leite Ribeiro;Vereador Edmundo Cardillo;;(35)2101-9800;gerencia@vilageinn.com.br;gerencia@vilageinn.com.br;;"02/05/2018";"02/05/2020";"00713456000107";"5510801 - HOTÉIS";;;208;1;520
HOTEL CAMPO LARGO LTDA;HOTEL CAMPO LARGO;"00727947000107";Sociedade Empresária Limitada;1995-07-28;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"83601070";PR;Campo Largo;Centro;Vereador Arlindo Chemin;;(41)3306-0600;gerencia@hotelcampolargo.com.br;gerencia@hotelcampolargo.com.br;www.hotelcampolargo.com.br;"08/02/2018";"08/02/2020";"00727947000107";"5510801 - HOTÉIS";; Alemão | Espanhol | Inglês;81;1;118
HOTEL RESIDENCIAL ARAGUAIA LTDA;HOTEL ARAGUAIA;"00739286000121";Sociedade Empresária Limitada;1995-08-02;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"77006032";TO;Palmas;Plano Diretor Norte;"104 Norte Avenida LO 4";;(63)3225-5060;reservas@hotelaraguaiato.com.br;reservas@hotelaraguaiato.com.br;www.hotelaraguaiato.com.br;"05/12/2017";"05/12/2019";"00739286000121";"5510801 - HOTÉIS";; Espanhol | Inglês;68;1;180
HOTEL RANCHO LINHARES LTDA;HOTEL VIRGINIA;"00742402000161";Sociedade Empresária Limitada;1995-07-27;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"29900030";ES;Linhares;Centro;Governador Santos Neves;;(27)3371-3766;RESERVAS@HOTELVIRGINIA.COM.BR;RESERVAS@HOTELVIRGINIA.COM.BR;WWW.HOTELVIRGINIA.COM.BR;"09/02/2018";"09/02/2020";"00742402000161";"5510801 - HOTÉIS";;;51;0;103
HOTEL RANCHO LINHARES LTDA;HOTEL AREZZU;"00742402000242";Sociedade Empresária Limitada;2007-06-05;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"29900033";ES;Linhares;Centro;Governador Santos Neves;;(27)3264-9500;RESERVAS@HOTELAREZZU.COM.BR;RESERVAS@HOTELAREZZU.COM.BR;WWW.HOTELAREZZU.COM.BR;"09/02/2018";"09/02/2020";"00742402000242";"5510801 - HOTÉIS";; Espanhol | Inglês;86;1;188
ENGENHEIROS HOTEL LTDA;ENGENHEIROS HOTEL;"00800467000116";Sociedade Empresária Limitada;1995-09-12;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78905300";RO;Porto Velho;;Sem Logradouro;;(69)3225-2783;engenheiroshotelpvh@hotmail.com;engenheiroshotelpvh@hotmail.com;;"22/02/2018";"22/02/2020";"00800467000116";"5510801 - HOTÉIS";;;14;0;43
LORD HOTEL CAMBURI LTDA;LORD HOTEL CAMBURI;"00810115000141";Sociedade Empresária Limitada;1995-09-05;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"29160771";ES;Serra;de Fátima;Maria Delunardo Trancoso;;(27)3395-1500;lordhotel@lordhotelcamburi.com.br;lordhotel@lordhotelcamburi.com.br;www.lordhotelcamburi.com.br;"16/01/2018";"16/01/2020";"00810115000141";"5510801 - HOTÉIS";; Inglês;43;1;125
JOSE NIVALDO ARAUJO DE MELO;CHALEMAR HOTEL POUSADA;"00822316000169";Empresário (Individual);1995-09-26;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"59194000";RN;Baía Formosa;;Sem Logradouro;;(84)3244-2222;chalemar@chalemar.com.br;chalemar@chalemar.com.br;;"25/01/2018";"25/01/2020";"00822316000169";"5510801 - HOTÉIS";;;40;0;120
JATOBA HOTEIS E TURISMO LTDA;JATOBÁ PRAIA HOTEL;"00826182000154";Sociedade Empresária Limitada;1995-09-28;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"49035785";SE;Aracaju;Coroa do Meio;Santos Dumont;- de 1097/1098 ao fim;(79)3226-3993;jatobahotel@infonet.com.br;jatobahotel@infonet.com.br;www.jatobahotel.com.br;"09/03/2018";"09/03/2020";"00826182000154";"5510801 - HOTÉIS";; Espanhol;44;1;98
BRISTUR ADMINISTRACAO DE HOTEIS E CONDOMINIOS LTDA;DUOMO PARK HOTEL;"00832577000160";Sociedade Empresária Limitada;1995-08-22;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"80420210";PR;Curitiba;Centro;Visconde do Rio Branco;;(41)3221-1900;gerencia@hotelduomo.com.br;gerencia@hotelduomo.com.br;www.hotelduomo.com.br;"06/02/2018";"06/02/2020";"00832577000160";"5510801 - HOTÉIS";; Espanhol | Inglês;48;0;73
MARESIL HOTELARIA LTDA;HOTEL SUL REAL;"00854761000100";Sociedade Empresária Limitada;1995-10-11;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78964460";RO;Ji-Paraná;;Sem Logradouro;;(69)3421-6283;almiro_amorim@hotmail.com;almiro_amorim@hotmail.com;;"15/02/2018";"15/02/2020";"00854761000100";"5510801 - HOTÉIS";;;35;0;70
SILVIA M PACHECO DE SOUZA;POUSADA MENINA BONITA;"00865003000198";Empresário (Individual);1995-09-29;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"69735000";AM;Presidente Figueiredo;;Sem Logradouro;;(92)9221-1312;SS_PACH.SOUZA@HOTMAIL.COM;SS_PACH.SOUZA@HOTMAIL.COM;;"30/01/2018";"30/01/2020";"00865003000198";"5510801 - HOTÉIS";; Espanhol | Inglês;10;0;31
LAOS HOTEL LTDA;LAOS HOTEL;"00932966000167";Sociedade Empresária Limitada;1995-11-24;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"80410240";PR;Curitiba;Centro;Ébano Pereira;;(41)3233-6153;laoshotel@netpar.com.br;laoshotel@netpar.com.br;;"08/03/2018";"08/03/2020";"00932966000167";"5510801 - HOTÉIS";;;32;4;32
J.T.HOTEL E RESTAURANTE LTDA;SERRAS HOTEL E RESTAURANTE;"00944626000156";Sociedade Empresária Limitada;1995-12-01;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"78300000";MT;Tangará da Serra;;Sem Logradouro;;(65)3339-1800;serrasescritorio@hotmail.com;serrasescritorio@hotmail.com;;"01/11/2017";"01/11/2019";"00944626000156";"5510801 - HOTÉIS";;;64;1;128
FLAT HOTEL CAXAMBU LTDA;FLAT HOTEL CAXAMBU;"00950669000144";Sociedade Empresária Limitada;1995-12-06;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37440000";MG;Caxambu;;Sem Logradouro;;(35)3341-1244;FLATCAXAMBU@NRTSULMINAS.COM.BR;FLATCAXAMBU@NRTSULMINAS.COM.BR;WWW.FLATCAXAMBU.COM.BR;"09/03/2018";"09/03/2020";"00950669000144";"5510801 - HOTÉIS";;;13;0;60
RAQUEL FLORES;POUSADA QUINTA DAS AROEIRAS;"00961892000197";Empresário (Individual);1995-12-08;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"15400000";SP;Olímpia;;Rua São Joaquim 278;Quinta das Aroeiras;(17)3279-7568;pousadaquintadasaroeiras@gmail.com;pousadaquintadasaroeiras@gmail.com;www.pousadaquintadasaroeiras.com.br;"29/03/2018";"29/03/2020";"00961892000197";"5510801 - HOTÉIS";;;13;0;48
TYRZA INES BARBOSA DE MELO;POUSADA PE DO MATO;"00981057000119";Empresário (Individual);1995-12-28;DEMAIS;1;Em Operação;Meio de Hospedagem;;;"69735000";AM;Presidente Figueiredo;;Sem Logradouro;;(92)9932-1270;pousadapedomato@gmail.com;pousadapedomato@gmail.com;;"22/02/2018";"22/02/2020";"00981057000119";"5510801 - HOTÉIS";; Inglês;6;0;18
RESIDENCIAL ICARAI LTDA;HOTEL PETIT VILLAGE ICARAI;"00986728000134";Sociedade Simples Limitada;1995-12-29;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"24220121";RJ;Niterói;Icaraí;Mariz e Barros;;(21)2714-5242;financeiro@hotelpetitvillageicarai.com.br;financeiro@hotelpetitvillageicarai.com.br;www.hotelpetitvillageicarai.com.br;"05/02/2018";"05/02/2020";"00986728000134";"5510801 - HOTÉIS";; Inglês;14;0;25
CABO FRIO ALUGUEL DE TEMPORADA LTDA.;CABO FRIO ALUGUEL DE TEMPORADA LTDA-ME;"01000604000109";Sociedade Empresária Limitada;1996-01-04;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"28907350";RJ;Cabo Frio;Vila Nova;Alex Novelino;;(22)2643-8238;shirleyepaulino@hotmail.com;shirleyepaulino@hotmail.com;;"18/01/2018";"18/01/2020";"01000604000109";"5510801 - HOTÉIS";; Espanhol | Francês | Inglês | Italiano;20;0;106
HOTEL RECANTO DA COSTEIRA LTDA;HOTEL RECANTO DA COSTEIRA;"01008364000180";Sociedade Empresária Limitada;1996-01-19;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"59090070";RN;Natal;Ponta Negra;Hélio Galvão;;(84)3219-3856;hotel@recantodacosteira.com.br;hotel@recantodacosteira.com.br;www.recantodacosteira.com.br;"28/03/2018";"28/03/2020";"01008364000180";"5510801 - HOTÉIS";;;27;0;70
BRAZ E MOREIRA LTDA;POUSADA RIO NEGRO;"01032100000162";Sociedade Empresária Limitada;1996-02-05;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"74520100";GO;Goiânia;Setor Campinas;Rua Nove;Qd 19 Lt 07;(62)3954-3651;contato@centersulcontabilidade.com;contato@centersulcontabilidade.com;;"28/03/2018";"28/03/2020";"01032100000162";"5590699 - OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE";; Português;11;0;18
BRUNU'S HOTEL LTDA;HOTEL TROPICAL;"01043199000106";Sociedade Empresária Limitada;1984-12-28;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"78020000";MT;Cuiabá;Centro-Sul;Treze de Junho;"544";(65)3624-1322;hoteltropicalmt@hotmail.com;hoteltropicalmt@hotmail.com;;"27/03/2018";"27/03/2020";"01043199000106";"5510801 - HOTÉIS";;;19;2;41
MOACI FERNANDES DA SILVA;RECIFE HOTEL;"01044200000109";Empresário (Individual);1996-02-07;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"77270000";TO;Palmas;;Sem Logradouro;;(63)3571-7072;kelybonka@hotmail.com;kelybonka@hotmail.com;;"02/03/2018";"02/03/2020";"01044200000109";"5510801 - HOTÉIS";;;27;0;49
CRYSTAL PLAZA HOTEL LTDA;CRYSTAL PLAZA HOTEL;"01063648000170";Sociedade Empresária Limitada;1996-02-27;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"74080010";GO;Goiânia;Setor Sul;"85";;(62)3267-4500;ETECO@UOL.COM.BR;RESERVAS@CRYSTALPLAZAHOTEL.COM.BR;WWW.CRYSTALPLAZAHOTEL.COM.BR;"16/03/2018";"16/03/2020";"01063648000170";"5510801 - HOTÉIS";; Espanhol | Inglês;72;0;147
ESQUILO ADMINISTRACAO DE BENS PROPRIOS LTDA;ESQUILO HOTEL;"01078014000190";Sociedade Empresária Limitada;1996-03-06;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"37653000";MG;Monte Verde;;Sem Logradouro;;(35)3438-1454;RESERVAS@ESQUILOHOTEL.COM.BR;RESERVAS@ESQUILOHOTEL.COM.BR;WWW.ESQUILOHOTEL.COM.BR;"22/03/2018";"22/03/2020";"01078014000190";"5510801 - HOTÉIS";; Espanhol | Inglês;36;1;45
JOANA SANTANA MOREIRA NEVES;POUSADA IDEAL;"01091983000181";Empresário (Individual);1996-03-12;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"47650000";BA;Correntina;;Sem Logradouro;;(77)3488-2135;pousadaideal@hotmail.com;pousadaideal@hotmail.com;;"26/05/2017";"26/05/2019";"01091983000181";"5590699 - OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE";;;5;0;20
POUSADA IRMAOS BRASIL LTDA;POUSADA RECANTO DO SOL;"01099139000105";Sociedade Empresária Limitada;1996-03-15;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"65071377";MA;São Luís;Calhau;Litorânea;quadra 02;(98)3222-4401;saoluiscontabilidade@gmail.com;saoluiscontabilidade@gmail.com;;"22/03/2018";"22/03/2020";"01099139000105";"5590699 - OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE";;;20;2;30
POUSO KOTORY LTDA;POUSO KOTORY;"01154414000138";Sociedade Empresária Limitada;1996-03-13;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"23970000";RJ;Paraty;;Sem Logradouro;;(24)3371-2260;POUSOKOTORY@YAHOO.COM.BR;POUSOKOTORY@YAHOO.COM.BR;WWW.POUSOKOTORY.COM.BR;"01/02/2018";"01/02/2020";"01154414000138";"5510801 - HOTÉIS";; Inglês;10;0;26
DELCARO & CIA LTDA;DELCAS HOTEL;"01292739000349";Sociedade Empresária Limitada;1985-05-20;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"78300000";MT;Tangará da Serra;;Sem Logradouro;;(65)3339-1900;financeiro.tga@delcashotel.com.br;financeiro.tga@delcashotel.com.br;;"30/10/2017";"30/10/2019";"01292739000349";"5510801 - HOTÉIS";;;52;2;98
RICARDO ANGELO ROSSATTO;RICARDO ANGELO ROSSATTO;"01296845000139";Empresário (Individual);1996-07-03;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"99250000";RS;Serafina Corrêa;;Sem Logradouro;;(54)3444-2263;restauranterossatto@hotmail.com;restauranterossatto@hotmail.com;;"05/02/2018";"05/02/2020";"01296845000139";"5510801 - HOTÉIS";; Italiano;45;6;85
HOTEL VENEZA LTDA;VENEZA PALACE HOTEL;"01296896000160";Sociedade Empresária Limitada;1985-10-10;EMPRESA DE PEQUENO PORTE;1;Em Operação;Meio de Hospedagem;;;"78010200";MT;Cuiabá;Bandeirantes;Coronel Escolástico;;(65)3317-6000;hotelvenezacba@hotmail.com;hotelvenezacba@hotmail.com;;"09/03/2018";"09/03/2020";"01296896000160";"5510802 - APART HOTÉIS";;;79;1;158
HOTEL SANTA CLARA LTDA;HOTEL SANTA CLARA;"01307233000102";Sociedade Empresária Limitada;1996-06-13;MICROEMPRESA;1;Em Operação;Meio de Hospedagem;;;"39270000";MG;Pirapora;;Sem Logradouro;;(38)3741-1636;;;;"09/03/2018";"09/03/2020";"01307233000102";"5510801 - HOTÉIS";;;25;0;50
